"ISBN";"Anzahl";"Titel";"publisher";"E-Preis";;
4050003722788;1;"Sherlock Holmes - Die mysteriöse Jagd durch London";" COPPENRATH-VERLAG GMBH &";"14,00 €";;"14,00 €"
4050003725635;2;"Advent mit Hildegard von Bingen";" Bingen, Hildegard COPPEN";"12,00 €";;"24,00 €"
9783103977097;1;"Meine Zuflucht und mein Sturm";;"26,00 €";;"26,00 €"
9783314104473;1;"Edison - Das Rätsel des verschollenen Mauseschatzes";;"24,00 €";;"24,00 €"
9783328603450;1;"Tote Seelen singen nicht - Der elfte Fall für das Sonderdezernat Q in Kopenhagen - Thriller. Die internationale Bestseller-Reihe rund um den Ermittler Carl Mørck geht weiter!";;"28,00 €";;"28,00 €"
9783365011713;1;"Kiss me in Winter. Eine sugar coated Romance - Roman";;"14,00 €";;"14,00 €"
9783426530900;1;"This could be home - Roman | Band 2 der neuen New-Adult-Reihe von Spiegel-Bestsellerautorin Lilly Lucas | Limitierte Auflage mit Farbschnitt";;"16,00 €";;"16,00 €"
9783426530917;1;"This could be forever - Roman | Band 3 der neuen New-Adult-Reihe von Spiegel-Bestsellerautorin Lilly Lucas | Limitierte Auflage mit Farbschnitt";;"16,00 €";;"16,00 €"
9783440179635;1;"Die drei !!!, Der Skandal im Spreepalast";"KOSMOS (FRANCKH-KOSMOS)";"16,00 €";;"16,00 €"
9783440182598;1;"Sternenschweif, Bücherhelden 1. Klasse, Adventskalender, Der magische Wunschzettel - Adventskalender für Erstleser ab 6 Jahren. Spielerisch lesen lernen mit vielen weihnachtlichen Rätseln und Aufgaben, DIYs, Rezepten und Bastelideen";;"11,00 €";;"11,00 €"
9783455013177;1;"Mittwochs am Meer";;"13,00 €";;"13,00 €"
9783455018080;1;"Wilder Wein - Luc Verlains gefährlichster Fall";;"18,00 €";;"18,00 €"
9783458179153;1;"Sylvia und der Vogel";;"15,95 €";;"15,95 €"
9783458179566;1;"Winterschlaf - Vom Überwintern der Tiere";;"18,00 €";;"18,00 €"
9783458179924;1;"Sei wie ein Baum!";;"18,00 €";;"18,00 €"
9783458643579;1;"Der Gesang des Wals";;"16,00 €";;"16,00 €"
9783458644101;1;"Das Eichhörnchen und der verlorene Schatz";;"24,00 €";;"24,00 €"
9783458644453;1;"Eine wunderbare Sache - Kinderbuch ab 5 Jahre | Die zauberhafte Geschichte einer lebenslangen Freundschaft";;"24,00 €";;"24,00 €"
9783462007619;1;"Junge Frau mit Katze - Roman";;"24,00 €";;"24,00 €"
9783466311736;1;"artgerecht - Das andere Schulkinder-Buch - Selbstständigkeit fördern - Gut durch den Schulalltag kommen - Die spannenden Jahre zwischen 6 und 12";;"22,00 €";;"22,00 €"
9783473416622;1;"Mein erstes Vorlese-Fühlbuch: Bist du ein Löwe?";;"11,99 €";;"11,99 €"
9783473439898;1;"Wo bist du, kleine Eule? - Mit großen Fühlklappen";;"7,99 €";;"7,99 €"
9783492071598;1;"101 Essays, die dein Leben verändern werden";;"22,00 €";;"22,00 €"
9783492072663;1;"Biarritz - Roman | Nach dem SPIEGEL-Bestseller Brunnenstraße ein Mutter-Tochter-Roman";;"22,00 €";;"22,00 €"
9783551354013;1;"Harry Potter und der Stein der Weisen";"Carlsen Verlag GmbH";"10,00 €";;"10,00 €"
9783570314432;1;"IZARA - Sturmluft - Band 3 der packenden Romantasy-Reihe jetzt im Taschenbuch";;"10,00 €";;"10,00 €"
9783596032433;1;"Das Ende von Eddy";;"13,00 €";;"13,00 €"
9783716040133;1;"Die Uhr, die nicht tickt - Kinderlos glücklich";;"12,00 €";;"12,00 €"
9783733503666;1;"Scythe - Das Vermächtnis der Ältesten";;"12,00 €";;"12,00 €"
9783736305564;1;"Save Me";;"14,00 €";;"14,00 €"
9783737343565;1;"Feuerblüte - Tochter der Flammen - Auftakt einer phantastischen Trilogie ab 12 Jahre - Jugendroman von Bestsellerautorin Katja Brandis für alle Fantasy-Fans";;"17,00 €";;"17,00 €"
9783737364003;1;"Das Apfelmäuschen";;"14,00 €";;"14,00 €"
9783742321992;1;"Kochbuch für Teenies - Einfach, schnell und superlecker | Cheesecake am Stiel, Karottenkuchen-Bowl, Overnight Oats, Baked Feta-Pasta, Nice Cream und Bowls für Partys, Schulpause, Brunch und mehr";;"15,00 €";;"15,00 €"
9783743210035;1;"Mein Adventskalender zum Rätseln, Spielen und Basteln - Mit 24 Überraschungsseiten zum Auftrennen - Geschenkbuch für Kinder ab 4 Jahre";;"8,95 €";;"8,95 €"
9783743222397;1;"Gespensterjäger auf eisiger Spur (Band 1) - Mit 8 neu illustrierten Farbseiten";;"14,95 €";;"14,95 €"
9783751205603;1;"Wie kleine Tiere schlafen gehen. Das große Vorlesebuch - Neue Gutenachtgeschichten";;"15,00 €";;"15,00 €"
9783751206501;1;"Animox als Comic-Roman 3. Die Stadt der Haie";"Oetinger";"12,00 €";;"12,00 €"
9783757102197;1;"Bobo Siebenschläfer: So schön ist der Winter! - Schöne Wintergeschichte zum Vorlesen für Kinder ab 4 Jahre";;"13,90 €";;"13,90 €"
9783770424412;2;"Asterix in Lusitanien";"EHAPA COMIC COLLECTION";"13,50 €";;"27,00 €"
9783786729853;1;"Gotteslob - Katholisches Gebet- und Gesangbuch für das Bistum Mainz";;"28,00 €";;"28,00 €"
9783788620820;1;"Was ist was Bd. 74: Naturgewalten. Unberechenbar und mächtig";;"12,95 €";;"12,95 €"
9783789104992;1;"Die Eule mit der Beule. Spielspaß mit vielen Schiebern";;"10,00 €";;"10,00 €"
9783789113611;1;"Licht aus, kleine Maus!";;"8,00 €";;"8,00 €"
9783789141843;1;"Weihnachten mit Astrid Lindgren: die schönsten Geschichten von Pippi Langstrumpf, Michel, Madita, den Kindern aus Bullerbü u. a";;"25,00 €";;"25,00 €"
9783789161742;1;"Pettersson kriegt Weihnachtsbesuch";;"15,00 €";;"15,00 €"
9783789166099;1;"Bist du meine Mama? - mit vielen Klappen";;"10,00 €";;"10,00 €"
9783791391748;1;"Iron Maiden. Infinite Dreams - Das offizielle Buch zum Jubiläum. Mit über 600 Abbildungen und vielen persönlichen Dokumenten der Bandmitglieder. Deutsche Ausgabe";;"59,00 €";;"59,00 €"
9783805200776;1;"Der Glocken Schlag";;"22,00 €";;"22,00 €"
