"LfdNr";"Titel";"isbn";"Verlag";"Preis"
0;"Advent mit Hildegard von Bingen";4050003725635;" Bingen, Hildegard/Niesse";12
1;"Animox - Die Stadt der Haie";"978-3-7512-0650-1";" Carter, Aimée/Marmon, U";12
2;"artgerecht - Das andere Schulkinder-Buch";"978-3-466-31173-6";" Schmidt, Nicola KÖSEL M";22
3;"Asterix 41";"978-3-7704-2441-2";" Fabcaro/Conrad, Didier H";13,5
4;"Asterix 41";"978-3-7704-2441-2";" Fabcaro/Conrad, Didier H";13,5
5;"Biarritz";"978-3-492-07266-3";" Sawatzki, Andrea PIPER V";22
6;"Bobo Siebenschläfer: So schön ist der Winter";"978-3-7571-0219-7";" Osterwalder, Markus/Moll";13,9
7;"Die drei !!! - Der Skandal im Spreepalast";"978-3-440-17963-5";" Erlhoff, Kari FRANCKH-KO";16
8;"Die Passantin";"978-3-0369-5073-0";" George, Nina KEIN & ABER";26
9;"Edison";"978-3-314-10447-3";" Kuhlmann, Torben NORDSÜ";24
10;"Eine wunderbare Sache";"978-3-458-64445-3";" Dautremer, Rébecca INSE";24
11;"Gespensterjäger auf eisiger Spur";"978-3-7432-2239-7";" Funke, Cornelia LOEWE VE";14,95
12;"Gotteslob dunkelblau Kunstleder";"978-3-7867-2985-3";" Bischöfe Deutschlands u";28
13;"Junge Frau mit Katze";"978-3-462-00761-9";" Dröscher, Daniela KIEPE";24
14;"Kiss me in Winter. Eine sugar coated Romance";"978-3-365-01171-3";" Gilmore, Laurie VERLAGSG";14
15;"Mainzer Stadtspaziergänge XI";"978-3-96031-060-0";" Bermeitinger, Michael TZ";19,95
16;"Mein erstes Fahrzeuge-Klappenbuch: Bagger";"978-1-0357-0250-3";" Brooks, Felicity USBORNE";11
17;"Pettersson kriegt Weihnachtsbesuch";"978-3-7891-6174-2";" Nordqvist, Sven OETINGER";15
18;"Save Me";"978-3-7363-0556-4";" Kasten, Mona LYX KÖLN";14
19;"Sherlock Holmes - Die mysteriöse Jagd durch London";4050003722788;" COPPENRATH-VERLAG GMBH &";14
20;"Weihnachten mit Astrid Lindgren";"978-3-7891-4184-3";" Lindgren, Astrid OETINGE";25
;;;;378,8
