"LfdNr";"Titel";"isbn";"Verlag";"Preis"
0;"Alle nennen mich Nein-Sam - Ein ahnungsloser Mops beißt sich durch";"978-3-423-76585-5";" Daywalt, Drew DEUTSCHER ";15,00 €
1;"Alle nennen mich Nein-Sam - Ein ahnungsloser Mops beißt sich durch";"978-3-423-76585-5";" Daywalt, Drew DEUTSCHER ";15,00 €
2;"Anna oder: Was von einem Leben bleibt";"978-3-406-83626-8";" Sußebach, Henning BECK,";23,00 €
3;"Apfelstrudel-Alibi";"978-3-423-26445-7";" Falk, Rita DEUTSCHER TAS";18,00 €
4;"Aristide Ledoux - Meisterdieb wider Willen";"978-3-423-76594-7";" Reifenberg, Frank Maria ";18,00 €
;"Benno Bibers Weihnachtswerkstatt";;;12,00 €
5;"Bibi & Tina: Die 6 schönsten Reiterhof-Abenteuer";"978-3-12-949664-0";" KLETT, ERNST, VERLAG GMB";15,00 €
6;"Bibi & Tina: Die 6 schönsten Reiterhof-Abenteuer";"978-3-12-949664-0";" KLETT, ERNST, VERLAG GMB";15,00 €
7;"Das Kamelienhaus";"978-3-404-19490-2";" Bach, Tabea LÜBBE GMBH ";14,00 €
8;"Das Schwarz an den Händen meines Vaters";"978-3-10-397657-1";" Schätte, Lena FISCHER, ";24,00 €
9;"Das Schwarz an den Händen meines Vaters";"978-3-10-397657-1";" Schätte, Lena FISCHER, ";24,00 €
10;"Der Nachbar";"978-3-426-28175-8";" Fitzek, Sebastian VERLAG";25,00 €
11;"Der Nachbar";"978-3-426-28175-8";" Fitzek, Sebastian VERLAG";25,00 €
12;"Der Nachbar";"978-3-426-28175-8";" Fitzek, Sebastian VERLAG";25,00 €
13;"Der Pinguin, der fliegen lernte";"978-3-423-28452-3";" Hirschhausen, Eckart von";18,00 €
14;"Der Weihnachtskauz";"978-3-328-30385-5";" Sabbag, Britta PENGUIN B";15,00 €
15;"Die Entflammten";"978-3-0369-6199-6";" Meier, Simone KEIN & ABE";15,00 €
16;"Die Entflammten";"978-3-0369-6199-6";" Meier, Simone KEIN & ABE";15,00 €
17;"Du musst meine Hand fester halten, Nr. 104";"978-3-423-28392-2";" Abel, Susanne DEUTSCHER ";24,00 €
18;"Ella und der Einhornzauber";"978-3-401-72205-4";" Moser, Annette ARENA VER";10,00 €
19;"Für Polina";"978-3-257-07335-5";" Würger, Takis DIOGENES ";26,00 €
20;"Himmelerdenblau";"978-3-328-60428-0";" Hausmann, Romy PENGUIN B";18,00 €
21;"Kalle Keks & Krümel - Die verzauberte Wichteltür";"978-3-423-76587-9";" Schweizer, Lotte DEUTSCH";16,00 €
22;"Kleines Einhorn Funkelstern - Der geheimnisvolle Freundschaftszauber";"978-3-401-72162-0";" Berg, Mila ARENA VERLAG ";16,00 €
23;"Kleines Kuriositätenkabinett der deutschen Sprache";"978-3-411-71780-4";" BIBLIOGRAPHISCHES INSTIT";14,00 €
24;"Kleines Kuriositätenkabinett der deutschen Sprache";"978-3-411-71780-4";" BIBLIOGRAPHISCHES INSTIT";14,00 €
25;"Marini Marienkäfer. Sei nicht traurig!";"978-3-401-72118-7";" Dahle, Stefanie ARENA VE";12,00 €
26;"Melody";"978-3-257-24788-6";" Suter, Martin DIOGENES Z";15,00 €
27;"Mimi Zuckerperle und die Zauberbäckerei";"978-3-401-72141-5";" Grimm, Sandra ARENA VERL";14,00 €
28;"Mimi Zuckerperle und die Zauberbäckerei - Die verhexten Regenbogen-Brezeln";"978-3-401-72169-9";" Grimm, Sandra ARENA VERL";12,00 €
29;"Rauch und Schall";"978-3-257-24806-7";" Lewinsky, Charles DIOGEN";15,00 €
30;"Reclams klassischer Adventskalender. 'Was kümmert uns die kalte Nacht?'";"978-3-15-014734-4";" Karl-Heinz Göttert RECL";8,00 €
31;"Reclams klassischer Adventskalender. 'Was kümmert uns die kalte Nacht?'";"978-3-15-014734-4";" Karl-Heinz Göttert RECL";8,00 €
32;"Sag laut Nein, und geh nicht mit!";"978-3-401-72148-4";" Gemmel, Stefan ARENA VER";10,00 €
33;"Schneegestöber im kleinen Katzencafé";"978-3-365-01151-5";" Rowlands, Rachel HARPERC";14,00 €
34;"Schwedenträume und Schokoladenzauber";"978-3-328-11263-1";" Blixt, Hanna PENGUIN BOO";13,00 €
35;"Seit er sein Leben mit einem Tier teilt";"978-3-423-14921-1";" Kirchhoff, Bodo DEUTSCHE";14,00 €
36;"Tage mit mir";"978-3-0369-6194-1";" Wood, Charlotte KEIN & A";16,00 €
37;"Verraten";"978-3-423-26430-3";" Adler-Olsen, Jussi DEUTS";17,00 €
38;"Weil wir zusammengehören";"978-3-401-71994-8";" Dunker, Kristina ARENA V";15,00 €
39;"Wie konnte das geschehen? Deutschland 1933 bis 1945";"978-3-10-397364-8";" Aly, Götz FISCHER, S., ";34,00 €
40;"Windwalkers - Verborgene Flügel";"978-3-401-60795-5";" Brandis, Katja ARENA VER";16,00 €
41;"Wir alle geMEINSam!";"978-3-328-30390-9";" Meserve, Jessica PENGUIN";15,00 €
42;"Zilly und Zingaro. Die verrückte Nacht";"978-3-407-75988-7";" Paul, Korky/Thomas, Vale";14,00 €
;;;;731,00 €
