"LfdNr";"Titel";"isbn";"Verlag";"Preis"
0;"Überraschende Ideen für deinen Airfryer";"978-3-8338-9489-3";" Dusy, Tanja GRÄFE UND U";11,99
1;"Alea Aquarius - Der Stern des Schicksals";"978-3-7891-0766-5";" Stewner, Tanya OETINGER,";18
2;"Alle, außer mir";"978-3-8031-2883-6";" Melandri, Francesca WAGE";18
3;"Bibelgeschichten für die Kleinsten";"978-3-8157-5271-5";" Witthöft, Inga COPPENRA";12
4;"Bildermaus - Die kleine Eisprinzessin";"978-3-7432-1903-8";" Hierteis, Eva LOEWE VERL";9,95
5;"Bildermaus - Die kleine Eisprinzessin";"978-3-7432-1903-8";" Hierteis, Eva LOEWE VERL";9,95
6;"Brotzeit geht immer!";"978-3-8338-9238-7";" Dusy, Tanja GRÄFE UND U";11,99
7;"Crime im Heim";"978-3-8321-6722-6";" Tannert, Ida DUMONT LITE";17
8;"Das große WAS IST WAS Antwortbuch Tierwelt";"978-3-7886-7656-8";" Lich, Barbara TESSLOFF V";24
9;"Das kleine Böse Buch - Adventskalender";"978-3-7641-5322-9";" Myst, Magnus BETZ, WIEN";15
10;"Das zweite Königreich";"978-3-7577-0160-4";" Gablé, Rebecca EHRENWIR";18
11;"Der Regenzaubermarkt";"978-3-7641-7153-7";" Yeong-Gwang, You BETZ, W";20
12;"Die zauberhafte Wichteltür";"978-3-7432-1765-2";" Anker, Nicola LOEWE VERL";15
13;"Die zauberhafte Wichteltür";"978-3-7432-1765-2";" Anker, Nicola LOEWE VERL";15
14;"Ein Jahr für die Seele 2025/2026";"978-3-7462-6577-3";" ST. BENNO BUCH UND ZEITS";12,95
15;"Enno - Ein Austernfischer auf Schatzsuche";"978-3-8337-5022-9";" Reitmeyer, Andrea JUMBO ";16
16;"Escape School - Der unheimliche Nebel";"978-3-7512-0770-6";" Ambach, Jule DRESSLER, C";7
17;"Fiese Bilder - Buchausgabe 2025";"978-3-8303-3702-7";" Wolfgang Kleinert/Dieter";14
18;"Heißluftfritteuse vegetarisch";"978-3-7670-1944-7";" OETKER, DR., VERLAG KG B";17,99
19;"Irida und die Stadt der Geheimnisse";"978-3-7512-0578-8";" Heitz, Markus DRESSLER, ";18
20;"Kleb ein buntes Pflaster drauf!";"978-3-7512-0475-0";" Boese, Cornelia DRESSLER";14
21;"KoboldKroniken - Rumpels Rückkehr";"978-3-7512-0537-5";" Bleckmann, Daniel DRESSL";15
22;"Madwoman";"978-3-7596-0032-5";" Bieker, Chelsea POLAKOV,";18
23;"Meine allerliebsten Kindergebete";"978-3-8157-9361-9";" COPPENRATH-VERLAG GMBH &";6
24;"Mensch!";"978-3-8270-1507-5";" Friedman, Michel BV BERL";20
25;"Mensch!";"978-3-8270-1507-5";" Friedman, Michel BV BERL";20
26;"Milo und das Eifersuchtsmonster";"978-3-7432-1595-5";" Percival, Tom LOEWE VERL";15
27;"Na toll, ein Weihnachtstroll";"978-3-7432-2065-2";" Moser, Annette LOEWE VER";12,95
28;"Na toll, ein Weihnachtstroll";"978-3-7432-2065-2";" Moser, Annette LOEWE VER";12,95
29;"Nightmore - Plötzlich Werwolf";"978-3-7432-1956-4";" Walder, Vanessa LOEWE VE";9,95
30;"O du fröhliche!";"978-3-7432-1363-0";" LOEWE VERLAG GMBH BINDLA";22
31;"Schüttel den Weihnachtsbaum";"978-3-8094-4789-4";" Sternbaum, Nico BASSERMA";9,99
32;"Schüttel den Weihnachtsbaum";"978-3-8094-4789-4";" Sternbaum, Nico BASSERMA";9,99
33;"Schüttel den Weihnachtsbaum";"978-3-8094-4789-4";" Sternbaum, Nico BASSERMA";9,99
34;"Schnell mal Pasta";"978-3-8338-9605-7";" Poletto, Cornelia GRÄFE";12,99
35;"Und plötzlich ist nichts mehr, wie es war";"978-3-7587-0021-7";" Roebke, Albi/Harmann, Li";18
36;"Und plötzlich ist nichts mehr, wie es war";"978-3-7587-0021-7";" Roebke, Albi/Harmann, Li";18
37;"Unico erwacht 1";"978-3-7432-2102-4";" Tezuka, Osamu/Sattin, Sa";16
38;"Vegetarische Mezze";"978-3-8338-9058-1";" Dusy, Tanja GRÄFE UND U";11,99
39;"Vermisst - Der Fall Emily";"978-3-7645-0880-7";" Brand, Christine BLANVAL";18
40;"WAS IST WAS Erstes Lesen easy! Band 19. Tierische Rekorde";"978-3-7886-7737-4";" Meierjürgen, Sonja TESS";7,95
41;"Windstärke 17";"978-3-7558-0522-9";" Wahl, Caroline DUMONT LI";14
42;"Zwei Leben";"978-3-7558-0558-8";" Arenz, Ewald DUMONT LITE";14
;;;;628,57
