"LfdNr";"Titel";"isbn";"Verlag";"Preis"
0;"25 letzte Sommer";"978-3-548-07047-6";" Schäfer, Stephan ULLSTE";15
1;"Alle putzen Zähne!";"978-3-551-17347-8";" Klever, Elsa CARLSEN VER";9
2;"Besser fühlen";"978-3-499-00377-6";" Windscheid, Leon (Dr.) R";16
3;"Das große Geschichtenfest";"978-3-522-18859-3";" Bohlmann, Sabine/Kruse, ";25
4;"Das kleine Zuhause in Prag";"978-3-505-15202-3";" Caplin, Julie ROTFUCHS E";14
5;"Das Narrenschiff";"978-3-518-43226-6";" Hein, Christoph SUHRKAMP";28
6;"Der Maler und das reine Blau des Himmels";"978-3-492-32199-0";" Röhrig, Tilman PIPER VE";15
7;"Der Maler und das reine Blau des Himmels";"978-3-492-32199-0";" Röhrig, Tilman PIPER VE";15
8;"Die Assistentin";"978-3-498-00770-6";" Wahl, Caroline ROWOHLT V";24
9;"Die geheime Weihnachtsbibliothek";"978-3-492-32176-1";" Colgan, Jenny PIPER VERL";13
10;"Die mutige Rebellin";"978-3-492-06624-2";" Eckermann, Patricia/Sull";16
11;"Die schönste Version";"978-3-499-01438-3";" Thomas, Ruth-Maria ROTFU";14
12;"Dr. Brumms verrückte Woche";"978-3-522-45948-8";" Napp, Daniel THIENEMANN ";20
13;"Dr. Brumms verrückte Woche";"978-3-522-45948-8";" Napp, Daniel THIENEMANN ";20
14;"Eifelfrauen: Das Haus der Füchsin";"978-3-499-00404-9";" Riebe, Brigitte ROTFUCHS";15
15;"Eine halbe Ewigkeit";"978-3-499-00993-8";" Kürthy, Ildikó von ROT";14
16;"Ein Herz aus Papier und Sternen";"978-3-492-07366-0";" Ahern, Cecelia PIPER VER";24
17;"Ein Ort für immer";"978-3-499-01269-3";" Norton, Graham ROTFUCHS ";14
18;"Ihr habt es gut, ihr habt ja mich";"978-3-499-01613-4";" Bergmann, Renate ROTFUCH";13
19;"Iowa";"978-3-499-01130-6";" Sargnagel, Stefanie ROTF";14
20;"Kleine Lesehelden: Hörbe mit dem großen Hut";"978-3-522-18673-5";" Preußler, Otfried (Prof";9,99
21;"Leichtes Herz und schwere Beine";"978-3-492-06529-0";" Schlegl, Tobias PIPER VE";18
22;"Mach deinen Medienführerschein: Dein großes Mitmachbuch";"978-3-551-19154-0";" Feibel, Thomas CARLSEN V";7,99
23;"Mein Mutmach-Mitmachbuch";"978-3-551-19253-0";" Imlau, Nora CARLSEN VERL";8,99
24;"Mein Name ist Emilia del Valle";"978-3-518-43220-4";" Allende, Isabel SUHRKAMP";28
;"Minecraft Lexikon der Mobs";;;18
25;"Mit Männern leben";"978-3-518-00130-1";" Garcia, Manon SUHRKAMP V";20
26;"Momo";"978-3-522-20406-4";" Ende, Michael THIENEMANN";15
27;"Organisch";"978-3-550-20177-6";" Enders, Giulia ULLSTEIN ";24,99
28;"Organisch";"978-3-550-20177-6";" Enders, Giulia ULLSTEIN ";24,99
29;"Sonnenaufgang Nr. 5";"978-3-492-07183-3";" Henn, Carsten PIPER VERL";18
30;"Späte Ernte";"978-3-492-32218-8";" Wellemin, Nicole PIPER V";13
31;"Spekulatius, der Weihnachtsdrache - Spekulatius und der Schneeriese";"978-3-505-15288-7";" Goldfarb, Tobias HARPERC";14
32;"Und ohne Tabu explodiert die Welt";"978-3-492-07245-8";" Röhrig, Tilman PIPER VE";28
33;"Velvet Falls, but the Gods forgot to die";"978-3-522-90000-3";" Dippel, Julia THIENEMANN";24
34;"Wieso? Weshalb? Warum? junior AKTIV - Auf dem Ponyhof";"978-3-473-60076-2";" RAVENSBURGER BUCHVERLAG ";6,99
35;"Wieso? Weshalb? Warum? Sonderband - Mein ABC der Tiere";"978-3-473-60089-2";" Gernhäuser, Susanne RAV";19,99
;"Wieso? Weshalb? Warum? Meine Vorlesegeschichten";;;14,99
36;"Winona und der Ruf der Wiccas";"978-3-522-50956-5";" Teichert, Mina THIENEMAN";16
;;;;668,92
